site,depth,parents,candidate_past_size,hasse_frontier_support_cut,support_width,introduced_conflict,selector_mode,selector_tie_policy,use_orientation_conflicts,eligible_count,selected_count,strict_ready_count,strict_supported_count,unsupported_count,strict_committed_count,strict_blocked_count,selector_committed_count,selector_rejected_count,selector_stalemate_count,orientation_failure_count,strict_committed_motifs,strict_blocked_ready_motifs,selector_committed_motifs,selector_rejected_motifs,selector_stalemate_motifs,unsupported_motifs,support_failure_histogram
1,1,[0],1,[0],1,False,greedy,lexicographic,True,2,2,2,2,0,2,0,2,0,0,0,"[""genesis_seed"", ""renewal_1""]",[],"[""genesis_seed"", ""renewal_1""]",[],[],[],{}
2,2,[1],2,[1],1,False,greedy,lexicographic,True,3,3,3,3,0,3,0,3,0,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2""]",[],"[""genesis_seed"", ""renewal_1"", ""renewal_2""]",[],[],[],{}
3,3,[2],3,[2],1,True,greedy,lexicographic,True,5,5,5,5,1,5,0,5,0,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3""]",[],"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3""]",[],[],"[""choice_B_3""]","{""ledger_local_gate"": 1}"
4,4,[3],4,[3],1,False,greedy,lexicographic,True,5,5,5,5,2,5,0,5,0,0,1,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3""]",[],"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3""]",[],[],"[""choice_B_3"", ""renewal_4""]","{""ledger_local_gate"": 1, ""orientation_no_particle_label_primitives"": 1}"
5,5,[4],5,[4],1,True,greedy,lexicographic,True,6,6,6,6,4,6,0,6,0,0,2,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5""]",[],"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5""]",[],[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5""]","{""ledger_local_gate"": 2, ""orientation_no_extra_random_labels"": 1, ""orientation_no_particle_label_primitives"": 1}"
6,6,[5],6,[5],1,False,greedy,lexicographic,True,7,7,7,7,4,7,0,7,0,0,2,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6""]",[],"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6""]",[],[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5""]","{""ledger_local_gate"": 2, ""orientation_no_extra_random_labels"": 1, ""orientation_no_particle_label_primitives"": 1}"
7,7,[6],7,[6],1,True,greedy,lexicographic,True,8,8,8,8,6,8,0,8,0,0,3,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7""]",[],"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7""]",[],[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5"", ""renewal_7"", ""choice_A_7""]","{""ledger_local_gate"": 3, ""orientation_no_extra_random_labels"": 2, ""orientation_no_particle_label_primitives"": 1}"
8,8,"[4, 7]",8,[7],1,True,greedy,lexicographic,True,11,10,11,11,6,9,2,10,1,0,3,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8""]","[""choice_A_8"", ""choice_B_8""]","[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""choice_A_8""]","[""choice_B_8""]",[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5"", ""renewal_7"", ""choice_A_7""]","{""ledger_local_gate"": 3, ""orientation_no_extra_random_labels"": 2, ""orientation_no_particle_label_primitives"": 1}"
9,9,[8],9,[8],1,False,greedy,lexicographic,True,12,11,12,12,6,10,2,11,1,0,3,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""renewal_9""]","[""choice_A_8"", ""choice_B_8""]","[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""choice_A_8"", ""renewal_9""]","[""choice_B_8""]",[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5"", ""renewal_7"", ""choice_A_7""]","{""ledger_local_gate"": 3, ""orientation_no_extra_random_labels"": 2, ""orientation_no_particle_label_primitives"": 1}"
10,10,[9],10,[9],1,True,greedy,lexicographic,True,15,13,15,15,6,11,4,13,2,0,3,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""renewal_9"", ""renewal_10""]","[""choice_A_8"", ""choice_B_8"", ""choice_A_10"", ""choice_B_10""]","[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""choice_A_8"", ""renewal_9"", ""renewal_10"", ""choice_A_10""]","[""choice_B_8"", ""choice_B_10""]",[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5"", ""renewal_7"", ""choice_A_7""]","{""ledger_local_gate"": 3, ""orientation_no_extra_random_labels"": 2, ""orientation_no_particle_label_primitives"": 1}"
11,11,[10],11,[10],1,False,greedy,lexicographic,True,16,14,16,16,6,12,4,14,2,0,3,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11""]","[""choice_A_8"", ""choice_B_8"", ""choice_A_10"", ""choice_B_10""]","[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""choice_A_8"", ""renewal_9"", ""renewal_10"", ""choice_A_10"", ""renewal_11""]","[""choice_B_8"", ""choice_B_10""]",[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5"", ""renewal_7"", ""choice_A_7""]","{""ledger_local_gate"": 3, ""orientation_no_extra_random_labels"": 2, ""orientation_no_particle_label_primitives"": 1}"
12,12,[11],12,[11],1,False,greedy,lexicographic,True,17,15,17,17,6,13,4,15,2,0,3,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12""]","[""choice_A_8"", ""choice_B_8"", ""choice_A_10"", ""choice_B_10""]","[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""choice_A_8"", ""renewal_9"", ""renewal_10"", ""choice_A_10"", ""renewal_11"", ""renewal_12""]","[""choice_B_8"", ""choice_B_10""]",[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5"", ""renewal_7"", ""choice_A_7""]","{""ledger_local_gate"": 3, ""orientation_no_extra_random_labels"": 2, ""orientation_no_particle_label_primitives"": 1}"
13,13,[12],13,[12],1,False,greedy,lexicographic,True,18,16,18,18,6,14,4,16,2,0,3,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13""]","[""choice_A_8"", ""choice_B_8"", ""choice_A_10"", ""choice_B_10""]","[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""choice_A_8"", ""renewal_9"", ""renewal_10"", ""choice_A_10"", ""renewal_11"", ""renewal_12"", ""renewal_13""]","[""choice_B_8"", ""choice_B_10""]",[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5"", ""renewal_7"", ""choice_A_7""]","{""ledger_local_gate"": 3, ""orientation_no_extra_random_labels"": 2, ""orientation_no_particle_label_primitives"": 1}"
14,14,"[9, 13]",14,[13],1,False,greedy,lexicographic,True,19,17,19,19,6,15,4,17,2,0,3,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14""]","[""choice_A_8"", ""choice_B_8"", ""choice_A_10"", ""choice_B_10""]","[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""choice_A_8"", ""renewal_9"", ""renewal_10"", ""choice_A_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14""]","[""choice_B_8"", ""choice_B_10""]",[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5"", ""renewal_7"", ""choice_A_7""]","{""ledger_local_gate"": 3, ""orientation_no_extra_random_labels"": 2, ""orientation_no_particle_label_primitives"": 1}"
15,15,"[4, 14]",15,[14],1,False,greedy,lexicographic,True,20,18,20,20,6,16,4,18,2,0,3,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15""]","[""choice_A_8"", ""choice_B_8"", ""choice_A_10"", ""choice_B_10""]","[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""choice_A_8"", ""renewal_9"", ""renewal_10"", ""choice_A_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15""]","[""choice_B_8"", ""choice_B_10""]",[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5"", ""renewal_7"", ""choice_A_7""]","{""ledger_local_gate"": 3, ""orientation_no_extra_random_labels"": 2, ""orientation_no_particle_label_primitives"": 1}"
16,16,"[3, 15]",16,[15],1,False,greedy,lexicographic,True,20,18,20,20,7,16,4,18,2,0,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15""]","[""choice_A_8"", ""choice_B_8"", ""choice_A_10"", ""choice_B_10""]","[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""choice_A_3"", ""choice_A_5"", ""renewal_6"", ""choice_B_7"", ""renewal_8"", ""choice_A_8"", ""renewal_9"", ""renewal_10"", ""choice_A_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15""]","[""choice_B_8"", ""choice_B_10""]",[],"[""choice_B_3"", ""renewal_4"", ""renewal_5"", ""choice_B_5"", ""renewal_7"", ""choice_A_7"", ""renewal_16""]","{""ledger_local_gate"": 3, ""orientation_local_conserved"": 1, ""orientation_no_extra_random_labels"": 2, ""orientation_no_particle_label_primitives"": 1}"
