src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-MOTIF-NATIVE-ORIENT-LINK-001,RA-MOTIF-ORIENTATION-LINK-SURFACE-001,proof_dependency,claim,claim,Native orientation catalog evidence refines orientation-link surface,Distinct orientation-link surfaces refine generic orientation component evidence
RA-MOTIF-NATIVE-ORIENT-LINK-001,RA-MOTIF-NATIVE-CERT-COMPONENTS-001,proof_dependency,claim,claim,Native orientation catalog evidence refines orientation-link surface,Native certificate-component contexts refine native-overlap certified-family readiness
RA-SIM-NATIVE-ORIENT-LINK-001,RA-SIM-ORIENTATION-LINK-SURFACE-001,proof_dependency,claim,claim,Native theorem-catalog orientation surface separates from support/frontier overlap,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit
RA-SIM-NATIVE-ORIENT-LINK-001,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,proof_dependency,claim,claim,Native theorem-catalog orientation surface separates from support/frontier overlap,Native component decoupling audit detects orientation/support/frontier confounding
RA-SIM-NATIVE-ORIENT-LINK-001,RA-MOTIF-NATIVE-ORIENT-LINK-001,proof_dependency,claim,claim,Native theorem-catalog orientation surface separates from support/frontier overlap,Native orientation catalog evidence refines orientation-link surface
RA-SIM-NATIVE-ORIENT-LINK-002,RA-SIM-NATIVE-ORIENT-LINK-001,proof_dependency,claim,claim,Native catalog orientation surface supports orientation-specific diagnostics after support/frontier control,Native theorem-catalog orientation surface separates from support/frontier overlap
RA-SIM-NATIVE-ORIENT-LINK-002,RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,proof_dependency,claim,claim,Native catalog orientation surface supports orientation-specific diagnostics after support/frontier control,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1
RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,RA-METHOD-001,interpretive_dependency,framing,framing,"Native orientation catalog surfaces are intermediate, not final native orientation laws",RA framing discipline
RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,RA-METHOD-002,interpretive_dependency,framing,framing,"Native orientation catalog surfaces are intermediate, not final native orientation laws",RA Nature-target discipline
RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,RA-SIM-NATIVE-CERT-OVERLAP-METHOD-001,interpretive_dependency,framing,framing,"Native orientation catalog surfaces are intermediate, not final native orientation laws","Native certificate overlap is an operational bridge, not a final law"
RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,RA-SIM-NATIVE-CERT-ROBUST-METHOD-001,interpretive_dependency,framing,framing,"Native orientation catalog surfaces are intermediate, not final native orientation laws","Native overlap robustness analyses are diagnostic, not derived overlap laws"
RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,RA-SIM-NATIVE-CERT-CALIB-METHOD-001,interpretive_dependency,framing,framing,"Native orientation catalog surfaces are intermediate, not final native orientation laws","Native-overlap calibration is diagnostic, not a final overlap law"
RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,interpretive_dependency,framing,framing,"Native orientation catalog surfaces are intermediate, not final native orientation laws",Native certificate anchoring is component-level and qualitative until BDG-LLC derivation
RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,RA-SIM-NATIVE-COMPONENT-DECOUPLE-METHOD-001,interpretive_dependency,framing,framing,"Native orientation catalog surfaces are intermediate, not final native orientation laws",Do not overclaim component-specific attribution when overlap surfaces are confounded
RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,interpretive_dependency,framing,framing,"Native orientation catalog surfaces are intermediate, not final native orientation laws","Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one"
