node_id,node_type,name,domain,papers_field,status,kind,artifact_edge_count,artifact_relations,verification_statuses,source_text_ref_count,source_text_relations,support_tier,gap_class,recommended_action,caveats,next_tasks,source_text_labels,artifact_ids
RA-ONT-001,claim,Finite causal graph ontology,kernel,I,axiom_or_stated_foundation,foundation,0,,,4,canonical_tex_projection;textual_reference_or_paper_source,textual_foundation,paper_projected_foundation_no_artifact_needed,No immediate action beyond normal review.,"Axiomatic foundation, not derived.",,"Paper I — section: The Seven Axioms || Paper I — subsection: From causal order to universe-state || RA Paper I, Axiom 1 || RA Paper I, Axiom 7",
RA-ONT-002,claim,Irreversible actualization,kernel,I,axiom_or_stated_foundation,foundation,0,,,7,canonical_tex_projection;textual_reference_or_paper_source,textual_foundation,paper_projected_foundation_no_artifact_needed,No immediate action beyond normal review.,Primitive RA commitment.,,"Paper I — section: The Measurement Problem Dissolved in Native Terms || Paper I — section: The Sequential Growth Rule || Paper I — section: The Seven Axioms || Paper I — subsection: A worked toy growth step || Paper I — subsection: Relation to classical sequential growth || Paper I — subsection: The bimodal ontology || RA Paper I, Axiom 2",
RA-ONT-003,claim,Structured potentia / adjacent possible,kernel,I,axiom_or_stated_foundation,foundation,0,,,6,canonical_tex_projection;textual_reference_or_paper_source,textual_foundation,paper_projected_foundation_no_artifact_needed,No immediate action beyond normal review.,Requires full measure formalization.,,"Paper I — section: The Sequential Growth Rule || Paper I — section: The Seven Axioms || Paper I — subsection: A worked toy growth step || Paper I — subsection: Relation to classical sequential growth || Paper I — subsection: The bimodal ontology || RA Paper I, Axiom 3",
RA-ONT-004,claim,Finitary Actuality,kernel,I,axiom_or_stated_foundation,foundation,0,,,2,canonical_tex_projection;textual_reference_or_paper_source,textual_foundation,paper_projected_foundation_no_artifact_needed,No immediate action beyond normal review.,Axiomatic.,,"Paper I — section: The Seven Axioms || RA Paper I, Axiom 7",
RA-LLC-001,claim,Local Ledger Condition,kernel,I;II;III;IV,axiom_or_stated_foundation,foundation,2,formal_source;proves,lean_build_confirmed_no_sorry;uploaded_compiles_user_verified,4,canonical_tex_projection;textual_reference_or_paper_source,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,RA_GraphCore_Native.lean uploaded and user-verified compiling; it is the canonical cited source for this registry entry.,,"Paper I — section: Formal Verification in Lean 4 || Paper I — section: The Seven Axioms || Paper I — subsection: From causal order to universe-state || RA Paper I, Axiom 6",ART-0008;ART-LEAN-RA_GraphCore
RA-KERNEL-001,claim,Four-dimensional BDG acceptance kernel,kernel,I,lean_verified_or_compiled_native,formalized_result,2,formal_source;proves,lean_build_confirmed_no_sorry;uploaded_verified,7,canonical_tex_projection;textual_reference_or_paper_source,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,The positivity criterion remains a foundational postulate/selection rule.,,"Paper I — section: The Actualization Criterion: Kernel First, Comparative Readouts Second || Paper I — section: The BDG Action and Its Integers || Paper I — section: The BDG Filter and Acceptance Kernel || Paper I — subsection: Kernel saturation theorem || Paper I — subsection: The actualization threshold || Paper I — subsection: The second-order cancellation pattern || RA Paper I §BDG",ART-0011;ART-LEAN-RA_BDG_Coefficient_Arithmetic
RA-KERNEL-002,claim,Kernel locality,kernel,I,lean_verified_or_compiled_native,formalized_result,3,formal_source;native_wrapper_for;proves_or_bridge_proves,lean_build_confirmed_no_sorry;lean_build_confirmed_no_sorry_bridge_review;uploaded_verified,1,canonical_tex_projection,formal_support_bridge_reviewed,crosslinked,No immediate action beyond normal review.,Covariant history measure remains open.,,Paper I — section: Formal Verification in Lean 4,ART-0010;ART-LEAN-RA_AmpLocality;ART-LEAN-RA_AmpLocality_Native
RA-KERNEL-003,claim,Finite potentia,kernel,I,derived_native,derived_result,0,,,6,canonical_tex_projection;textual_reference_or_paper_source,textual_only_needs_artifact_or_caveat,paper_projected_textual_only_claim,"Either attach source artifact edge, demote to restoration candidate, or mark as prose-derived with explicit caveat.",Assumes finite candidate past-set construction.,,"Paper I — section: The Sequential Growth Rule || Paper I — section: The Seven Axioms || Paper I — subsection: A worked toy growth step || Paper I — subsection: Relation to classical sequential growth || Paper I — subsection: The bimodal ontology || RA Paper I, finite potentia proposition",
RA-ARITH-001,claim,BDG coefficient arithmetic spine,arithmetic,I,lean_verified_or_compiled_native,formalized_result,6,candidate_support;formal_source;legacy_duplicate_support;proves,lean_build_confirmed_no_sorry;lean_build_confirmed_transitive_import;native_candidate;uploaded_verified,6,canonical_tex_projection,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Geometric continuum identification remains comparative.,,"Paper I — section: Arithmetic Core, Measured Numbers, and Non-kernel Overlays || Paper I — section: Formal Verification in Lean 4 || Paper I — section: The BDG Action and Its Integers || Paper I — section: The Present Case for d=4 || Paper I — subsection: The second-order cancellation pattern || Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets",ART-0011;ART-LEAN-RA_BDG_Coefficient_Arithmetic;ART-LEAN-RA_O14_ArithmeticCore_v1;ART-LEAN-RA_O14_Uniqueness_Core_draft;ART-PY-o14_incidence_algebra;ART-PY-o14_proof
RA-ARITH-002,claim,Second-order cancellation pattern,arithmetic,I,lean_verified_or_compiled_native,formalized_result,4,candidate_support;formal_source;proves,lean_build_confirmed_no_sorry;native_candidate;uploaded_verified,3,canonical_tex_projection,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Interpretation as geometric closure is downstream.,,"Paper I — section: Arithmetic Core, Measured Numbers, and Non-kernel Overlays || Paper I — section: The BDG Action and Its Integers || Paper I — subsection: The second-order cancellation pattern",ART-0011;ART-LEAN-RA_BDG_Coefficient_Arithmetic;ART-PY-o14_incidence_algebra;ART-PY-o14_proof
