claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-LEAN-RA_IncidenceSignSource_v1,RA_IncidenceSignSource_v1.lean,lean,formalization_scaffold,FrontierOrientationChart; signSourceOfOrientationChart; OrientedN1ThreeFrame; signedThreeFrameOfOrientationChart; OrientedIncidenceBoundary; ledgerOfOrientedIncidenceBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional sign-source scaffold. Shows deterministic frontier orientation chart induces an IncidenceSignSource and seven-value N1 charge ledger; chart derivation from graph topology remains open.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_IncidenceSignSource_v1,RA_IncidenceSignSource_v1.lean,lean,formalization_scaffold,FrontierOrientationChart; signSourceOfOrientationChart; OrientedN1ThreeFrame; signedThreeFrameOfOrientationChart; OrientedIncidenceBoundary; ledgerOfOrientedIncidenceBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional sign-source scaffold. Shows deterministic frontier orientation chart induces an IncidenceSignSource and seven-value N1 charge ledger; chart derivation from graph topology remains open.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_IncidenceSignSource_v1,RA_IncidenceSignSource_v1.lean,lean,formalization_scaffold,FrontierOrientationChart; signSourceOfOrientationChart; OrientedN1ThreeFrame; signedThreeFrameOfOrientationChart; OrientedIncidenceBoundary; ledgerOfOrientedIncidenceBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional sign-source scaffold. Shows deterministic frontier orientation chart induces an IncidenceSignSource and seven-value N1 charge ledger; chart derivation from graph topology remains open.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_IncidenceSignSource_v1,RA_IncidenceSignSource_v1.lean,lean,formalization_scaffold,FrontierOrientationChart; signSourceOfOrientationChart; OrientedN1ThreeFrame; signedThreeFrameOfOrientationChart; OrientedIncidenceBoundary; ledgerOfOrientedIncidenceBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional sign-source scaffold. Shows deterministic frontier orientation chart induces an IncidenceSignSource and seven-value N1 charge ledger; chart derivation from graph topology remains open.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_IncidenceSignSource_v1,RA_IncidenceSignSource_v1.lean,lean,formalization_scaffold,FrontierOrientationChart; signSourceOfOrientationChart; OrientedN1ThreeFrame; signedThreeFrameOfOrientationChart; OrientedIncidenceBoundary; ledgerOfOrientedIncidenceBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional sign-source scaffold. Shows deterministic frontier orientation chart induces an IncidenceSignSource and seven-value N1 charge ledger; chart derivation from graph topology remains open.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-SEL-LEAN-RA_IncidenceSignSource_v1,RA_IncidenceSignSource_v1.lean,lean,formalization_scaffold,FrontierOrientationChart; signSourceOfOrientationChart; OrientedN1ThreeFrame; signedThreeFrameOfOrientationChart; OrientedIncidenceBoundary; ledgerOfOrientedIncidenceBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional sign-source scaffold. Shows deterministic frontier orientation chart induces an IncidenceSignSource and seven-value N1 charge ledger; chart derivation from graph topology remains open.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-NOTE-IncidenceSignSourceProgramme,RA_IncidenceSignSource_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains deterministic frontier orientation chart rung and remaining hard theorem.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-REPORT-IncidenceSignSourceFirstFormalization,RA_IncidenceSignSource_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Documents static audit and main definitions/lemmas for RA_IncidenceSignSource_v1.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-NOTE-IncidenceSignSourceProgramme,RA_IncidenceSignSource_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains deterministic frontier orientation chart rung and remaining hard theorem.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-REPORT-IncidenceSignSourceFirstFormalization,RA_IncidenceSignSource_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Documents static audit and main definitions/lemmas for RA_IncidenceSignSource_v1.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-SEL-NOTE-IncidenceSignSourceProgramme,RA_IncidenceSignSource_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains deterministic frontier orientation chart rung and remaining hard theorem.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-SEL-REPORT-IncidenceSignSourceFirstFormalization,RA_IncidenceSignSource_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Documents static audit and main definitions/lemmas for RA_IncidenceSignSource_v1.
