artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-SIM-CERT-CORRELATION-ANALYSIS-MODULE-v0_8_1,ra_cert_correlation_analysis.py,py,packet_local_validated_pending_canonical_run,analysis_source,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,analysis/ra_cert_correlation_analysis.py,0dac0dded570775e0232cadf7bf8059bd39ae3248d554925b399296a4258f734,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/analysis/ra_cert_correlation_analysis.py,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,analysis/ra_cert_correlation_analysis.py,analysis_source
ART-SIM-CERT-CORRELATION-RUNSCRIPT-v0_8_1,run_cert_correlation_analysis_v0_8_1.py,py,packet_local_validated_pending_canonical_run,analysis_run_script,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,scripts/run_cert_correlation_analysis_v0_8_1.py,ff29f73c9b523d070f42de85053b5eed918da40947d1eb78ace02acfdd4d987c,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/scripts/run_cert_correlation_analysis_v0_8_1.py,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,scripts/run_cert_correlation_analysis_v0_8_1.py,analysis_run_script
ART-SIM-CERT-CORRELATION-TESTS-v0_8_1,test_v0_8_1_cert_correlation_analysis.py,py,packet_local_validated_pending_canonical_run,test_source,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,tests/test_v0_8_1_cert_correlation_analysis.py,1b18f46c1b8335c8115fdc6460e7192c7195607ff2c8e3826477edee2a8f812a,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/tests/test_v0_8_1_cert_correlation_analysis.py,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,tests/test_v0_8_1_cert_correlation_analysis.py,test_source
ART-SIM-CERT-CORRELATION-README-v0_8_1,README_RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026.md,md,packet_local_validated_pending_canonical_run,packet_readme,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,README_RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026.md,31f381e78e05f20f489abbab9903a7b8ac6ae443c2b9393765f1d2413317644b,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/README_RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026.md,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,README_RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026.md,packet_readme
ART-SIM-CERT-CORRELATION-REPORT-v0_8_1,RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_Report_May05_2026.md,md,packet_local_validated_pending_canonical_run,analysis_report,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,reports/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_Report_May05_2026.md,b1dce2ffcbc6c30378a182cf20a604e104b8ea906bdd158f811681365d3d0a39,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_Report_May05_2026.md,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,reports/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_Report_May05_2026.md,analysis_report
ART-SIM-CERT-CORRELATION-BRIDGE-v0_8_1,simulator_to_rakb_cert_correlation_analysis_v0_8_1.md,md,packet_local_validated_pending_canonical_run,bridge_mapping,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,bridge/simulator_to_rakb_cert_correlation_analysis_v0_8_1.md,a96975bd42721b71714ddf59bdbb82df5f53b2b57ca1e90d8ab9d4f1d293014e,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/bridge/simulator_to_rakb_cert_correlation_analysis_v0_8_1.md,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,bridge/simulator_to_rakb_cert_correlation_analysis_v0_8_1.md,bridge_mapping
ART-SIM-CERT-CORRELATION-VALIDATION-v0_8_1,validation_unittest_v0_8_1.log,log,packet_local_validated_pending_canonical_run,validation_log,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,reports/validation_unittest_v0_8_1.log,160d92b2544870fbc8089cd5c20e27db9d9e208777e80fd215b5f831072201ae,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/reports/validation_unittest_v0_8_1.log,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,reports/validation_unittest_v0_8_1.log,validation_log
ART-SIM-CERT-CORRELATION-SOURCE-AUDIT-v0_8_1,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_1_May05_2026.log,log,packet_local_validated_pending_canonical_run,source_audit,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_1_May05_2026.log,1974a7513c4347e84713c9eb38c38ddc4a4bb1962ed26d9055d9044329e048c7,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_1_May05_2026.log,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_1_May05_2026.log,source_audit
ART-SIM-CERT-CORRELATION-DECAY-v0_8_1,ra_cert_rescue_decay_curve_v0_8_1.csv,csv,packet_local_validated_pending_canonical_run,analysis_output,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,outputs/ra_cert_rescue_decay_curve_v0_8_1.csv,e2ace388ee713f44e3478a798d80a8de667411f9d2200e63cb2b5f7b6446e288,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/outputs/ra_cert_rescue_decay_curve_v0_8_1.csv,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,outputs/ra_cert_rescue_decay_curve_v0_8_1.csv,analysis_output
ART-SIM-CERT-CORRELATION-SENSITIVITY-v0_8_1,ra_cert_correlation_sensitivity_v0_8_1.csv,csv,packet_local_validated_pending_canonical_run,analysis_output,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,outputs/ra_cert_correlation_sensitivity_v0_8_1.csv,c2136806143174b8ae18343f621d54c16d26ca283bcb9fecc46447fd1d066149,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/outputs/ra_cert_correlation_sensitivity_v0_8_1.csv,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,outputs/ra_cert_correlation_sensitivity_v0_8_1.csv,analysis_output
ART-SIM-CERT-CORRELATION-ENDPOINT-v0_8_1,ra_cert_endpoint_equivalence_v0_8_1.csv,csv,packet_local_validated_pending_canonical_run,analysis_output,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-002;RA-SIM-CERT-CORRELATION-003;RA-SIM-CERT-CORRELATION-004,outputs/ra_cert_endpoint_equivalence_v0_8_1.csv,e038a3211f68dffce8f2b622ca796412788fb1f2337a08dd15cff57b2f6eb725,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_May05_2026/outputs/ra_cert_endpoint_equivalence_v0_8_1.csv,v0.8.1 packet-local artifact; rerun outputs on canonical v0.8 data before promotion.,,outputs/ra_cert_endpoint_equivalence_v0_8_1.csv,analysis_output
