claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-SIM-CERT-CORRELATION-001,Certification rescue decays with certificate correlation,claim,ART-SIM-CERT-CORRELATION-ANALYSIS-MODULE-v0_8_1,ra_cert_correlation_analysis.py,py,analysis_source,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-001,Certification rescue decays with certificate correlation,claim,ART-SIM-CERT-CORRELATION-REPORT-v0_8_1,RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_Report_May05_2026.md,md,analysis_report,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-001,Certification rescue decays with certificate correlation,claim,ART-SIM-CERT-CORRELATION-BRIDGE-v0_8_1,simulator_to_rakb_cert_correlation_analysis_v0_8_1.md,md,bridge_mapping,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-001,Certification rescue decays with certificate correlation,claim,ART-SIM-CERT-CORRELATION-VALIDATION-v0_8_1,validation_unittest_v0_8_1.log,log,validation_log,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-001,Certification rescue decays with certificate correlation,claim,ART-SIM-CERT-CORRELATION-SOURCE-AUDIT-v0_8_1,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_1_May05_2026.log,log,source_audit,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-002,Full certificate correlation recovers parent-shared certification shape,claim,ART-SIM-CERT-CORRELATION-ANALYSIS-MODULE-v0_8_1,ra_cert_correlation_analysis.py,py,analysis_source,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-002,Full certificate correlation recovers parent-shared certification shape,claim,ART-SIM-CERT-CORRELATION-REPORT-v0_8_1,RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_Report_May05_2026.md,md,analysis_report,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-002,Full certificate correlation recovers parent-shared certification shape,claim,ART-SIM-CERT-CORRELATION-BRIDGE-v0_8_1,simulator_to_rakb_cert_correlation_analysis_v0_8_1.md,md,bridge_mapping,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-002,Full certificate correlation recovers parent-shared certification shape,claim,ART-SIM-CERT-CORRELATION-VALIDATION-v0_8_1,validation_unittest_v0_8_1.log,log,validation_log,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-002,Full certificate correlation recovers parent-shared certification shape,claim,ART-SIM-CERT-CORRELATION-SOURCE-AUDIT-v0_8_1,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_1_May05_2026.log,log,source_audit,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-003,Rescue AUC and sensitivity quantify certification-witness redundancy,claim,ART-SIM-CERT-CORRELATION-ANALYSIS-MODULE-v0_8_1,ra_cert_correlation_analysis.py,py,analysis_source,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-003,Rescue AUC and sensitivity quantify certification-witness redundancy,claim,ART-SIM-CERT-CORRELATION-REPORT-v0_8_1,RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_Report_May05_2026.md,md,analysis_report,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-003,Rescue AUC and sensitivity quantify certification-witness redundancy,claim,ART-SIM-CERT-CORRELATION-BRIDGE-v0_8_1,simulator_to_rakb_cert_correlation_analysis_v0_8_1.md,md,bridge_mapping,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-003,Rescue AUC and sensitivity quantify certification-witness redundancy,claim,ART-SIM-CERT-CORRELATION-VALIDATION-v0_8_1,validation_unittest_v0_8_1.log,log,validation_log,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-003,Rescue AUC and sensitivity quantify certification-witness redundancy,claim,ART-SIM-CERT-CORRELATION-SOURCE-AUDIT-v0_8_1,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_1_May05_2026.log,log,source_audit,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-004,Selector stress remains outside certification-family rescue,claim,ART-SIM-CERT-CORRELATION-ANALYSIS-MODULE-v0_8_1,ra_cert_correlation_analysis.py,py,analysis_source,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-004,Selector stress remains outside certification-family rescue,claim,ART-SIM-CERT-CORRELATION-REPORT-v0_8_1,RA_CausalDAG_MotifCommitSimulator_v0_8_1_CertCorrelationAnalysis_Report_May05_2026.md,md,analysis_report,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-004,Selector stress remains outside certification-family rescue,claim,ART-SIM-CERT-CORRELATION-BRIDGE-v0_8_1,simulator_to_rakb_cert_correlation_analysis_v0_8_1.md,md,bridge_mapping,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-004,Selector stress remains outside certification-family rescue,claim,ART-SIM-CERT-CORRELATION-VALIDATION-v0_8_1,validation_unittest_v0_8_1.log,log,validation_log,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
RA-SIM-CERT-CORRELATION-004,Selector stress remains outside certification-family rescue,claim,ART-SIM-CERT-CORRELATION-SOURCE-AUDIT-v0_8_1,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_1_May05_2026.log,log,source_audit,,packet_local_validated_pending_canonical_run,analysis-only support artifact,claim,claim_artifact_edge
