claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-SIM-NATIVE-CERT-ROBUST-001,Native certificate-overlap rescue is robust under component-ablation analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-SOURCE-v0_9_1,ra_native_overlap_robustness_analysis.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-CERT-ROBUST-002,Native overlap signature admits overlap-weight sensitivity analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-SOURCE-v0_9_1,ra_native_overlap_robustness_analysis.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-CERT-ROBUST-003,Native overlap component attribution identifies signal-carrying witness components,claim,ART-SIM-NATIVE-CERT-ROBUST-SOURCE-v0_9_1,ra_native_overlap_robustness_analysis.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-CERT-ROBUST-001,Native certificate-overlap rescue is robust under component-ablation analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-REPORT-v0_9_1,RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_Report_May05_2026.md,md,analysis_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_report
RA-SIM-NATIVE-CERT-ROBUST-002,Native overlap signature admits overlap-weight sensitivity analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-REPORT-v0_9_1,RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_Report_May05_2026.md,md,analysis_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_report
RA-SIM-NATIVE-CERT-ROBUST-003,Native overlap component attribution identifies signal-carrying witness components,claim,ART-SIM-NATIVE-CERT-ROBUST-REPORT-v0_9_1,RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_Report_May05_2026.md,md,analysis_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_report
RA-SIM-NATIVE-CERT-ROBUST-001,Native certificate-overlap rescue is robust under component-ablation analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-VALIDATION-v0_9_1,validation_unittest_v0_9_1.log,log,validation_log,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,validation_log
RA-SIM-NATIVE-CERT-ROBUST-001,Native certificate-overlap rescue is robust under component-ablation analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-COMPONENT-ABLATION-v0_9_1,ra_native_overlap_component_ablation_v0_9_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-CERT-ROBUST-003,Native overlap component attribution identifies signal-carrying witness components,claim,ART-SIM-NATIVE-CERT-ROBUST-COMPONENT-ABLATION-v0_9_1,ra_native_overlap_component_ablation_v0_9_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-CERT-ROBUST-002,Native overlap signature admits overlap-weight sensitivity analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-WEIGHTS-v0_9_1,ra_native_overlap_weight_sensitivity_v0_9_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-CERT-ROBUST-003,Native overlap component attribution identifies signal-carrying witness components,claim,ART-SIM-NATIVE-CERT-ROBUST-ATTRIBUTION-v0_9_1,ra_native_overlap_signal_attribution_v0_9_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-CERT-ROBUST-002,Native overlap signature admits overlap-weight sensitivity analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-ALIGNMENT-v0_9_1,ra_native_overlap_external_correlation_alignment_v0_9_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-CERT-ROBUST-001,Native certificate-overlap rescue is robust under component-ablation analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-ENDPOINT-v0_9_1,ra_native_overlap_crn_endpoint_audit_v0_9_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-CERT-ROBUST-001,Native certificate-overlap rescue is robust under component-ablation analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-SUMMARY-MD-v0_9_1,ra_native_overlap_robustness_summary_v0_9_1.md,md,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
RA-SIM-NATIVE-CERT-ROBUST-002,Native overlap signature admits overlap-weight sensitivity analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-SUMMARY-MD-v0_9_1,ra_native_overlap_robustness_summary_v0_9_1.md,md,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
RA-SIM-NATIVE-CERT-ROBUST-003,Native overlap component attribution identifies signal-carrying witness components,claim,ART-SIM-NATIVE-CERT-ROBUST-SUMMARY-MD-v0_9_1,ra_native_overlap_robustness_summary_v0_9_1.md,md,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
RA-SIM-NATIVE-CERT-ROBUST-001,Native certificate-overlap rescue is robust under component-ablation analysis,claim,ART-SIM-NATIVE-CERT-ROBUST-STATE-v0_9_1,ra_native_overlap_robustness_state_v0_9_1.json,json,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
