claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-NATIVE-CERT-COMPONENTS-001,Native certificate-component contexts refine native-overlap certified-family readiness,claim,ART-MOTIF-NATIVE-CERT-COMPONENTS-LEAN-v1-0,RA_MotifNativeCertificateComponents.lean,lean,formal_anchor,,lean_build_confirmed_no_sorry_no_admit_no_axiom,active RAKB v0.5 12-column edge upsert,claim,formal_anchor
RA-MOTIF-NATIVE-CERT-COMPONENTS-001,Native certificate-component contexts refine native-overlap certified-family readiness,claim,ART-MOTIF-NATIVE-CERT-COMPONENTS-LAKEFILE-PATCH-v1-0,patch_lakefile_add_RA_MotifNativeCertificateComponents.diff,diff,lakefile_patch,,generated_optional_patch,active RAKB v0.5 12-column edge upsert,claim,lakefile_patch
RA-MOTIF-NATIVE-CERT-COMPONENTS-001,Native certificate-component contexts refine native-overlap certified-family readiness,claim,ART-SIM-NATIVE-CERT-ANCHOR-REPORT-v1-0,RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-MOTIF-NATIVE-CERT-COMPONENTS-001,Native certificate-component contexts refine native-overlap certified-family readiness,claim,ART-SIM-NATIVE-CERT-ANCHOR-BRIDGE-v1-0,simulator_to_lean_native_certificate_components_v1_0.md,md,bridge_mapping,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,bridge_mapping
RA-MOTIF-NATIVE-CERT-COMPONENTS-001,Native certificate-component contexts refine native-overlap certified-family readiness,claim,ART-SIM-NATIVE-CERT-ANCHOR-SOURCE-AUDIT-v1-0,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_0_May05_2026.log,log,source_audit,,generated_source_audit,active RAKB v0.5 12-column edge upsert,claim,source_audit
RA-SIM-NATIVE-CERT-ANCHOR-001,v1.0 packages native certificate-overlap components into an anchoring profile,claim,ART-SIM-NATIVE-CERT-ANCHOR-ANALYSIS-v1-0,ra_native_certificate_anchoring.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-CERT-ANCHOR-002,v1.0 records augmented_exact_k as primary signal-carrier and at_least_k as monotone guardrail,claim,ART-SIM-NATIVE-CERT-ANCHOR-ANALYSIS-v1-0,ra_native_certificate_anchoring.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-CERT-ANCHOR-003,"v1.0 native-overlap calibration to external scale remains qualitative, not absolute",claim,ART-SIM-NATIVE-CERT-ANCHOR-ANALYSIS-v1-0,ra_native_certificate_anchoring.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-CERT-ANCHOR-001,v1.0 packages native certificate-overlap components into an anchoring profile,claim,ART-SIM-NATIVE-CERT-ANCHOR-RUNSCRIPT-v1-0,run_native_certificate_anchoring_v1_0.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-CERT-ANCHOR-001,v1.0 packages native certificate-overlap components into an anchoring profile,claim,ART-SIM-NATIVE-CERT-ANCHOR-REPORT-v1-0,RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-NATIVE-CERT-ANCHOR-002,v1.0 records augmented_exact_k as primary signal-carrier and at_least_k as monotone guardrail,claim,ART-SIM-NATIVE-CERT-ANCHOR-REPORT-v1-0,RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
