file,root_layer,root_order,kind,name,line,file_gap_context
RA_Complexity_Proofs.lean,complexity_straggler,,lemma,internal_flux_disjoint,66,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,lemma,sum_outgoing_decompose,75,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,lemma,sum_incoming_decompose,122,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,theorem,RA_graph_cut_theorem,174,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,theorem,horizon_partition,188,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,theorem,markov_blanket_shielding,219,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,theorem,assembly_index_correspondence,257,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,theorem,actualization_frame_invariance,279,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,axiom,causal_firewall_threshold,293,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,theorem,biological_persistence,296,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,theorem,biological_persistence_strong,304,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_Complexity_Proofs.lean,complexity_straggler,,axiom,vacuum_energy_suppression,322,complexity straggler; not in default root; one live sorry and two axioms; contains markov_blanket_shielding and assembly-oriented placeholders
RA_GraphCore.lean,default_root,1.0,lemma,outgoing_pairwise_disjoint,86,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,lemma,incoming_pairwise_disjoint,94,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,lemma,outgoing_pairwise_disjoint_VL,102,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,lemma,incoming_pairwise_disjoint_VL,107,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,lemma,biUnion_outgoing_eq_src_in_VL,113,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,lemma,biUnion_incoming_eq_dst_in_VL,122,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,lemma,internal_flux_disjoint,131,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,lemma,src_in_VL_eq_internal_union_boundary,138,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,lemma,dst_in_VL_eq_internal,155,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,lemma,sum_outgoing_decompose,170,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,lemma,sum_incoming_decompose,184,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,theorem,RA_graph_cut_theorem,200,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_GraphCore.lean,default_root,1.0,theorem,horizon_partition,214,default root; zero live sorries/axioms observed; contains MarkovBlanket structure but not markov_blanket_shielding theorem
RA_D1_Proofs.lean,default_root,2.0,lemma,bdg_c0,62,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,lemma,bdg_c1,63,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,lemma,bdg_c2,64,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,lemma,bdg_c3,66,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,lemma,bdg_c4,67,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,lemma,chain_score_via_bdg_0,88,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,lemma,chain_score_via_bdg_2,89,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,lemma,chain_score_via_bdg_3,90,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,lemma,chain_score_via_bdg_4,91,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1a_fixed_point,96,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1a_positive_iff,102,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1a_three_stable_nvectors,116,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1a_unstable_depths,125,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1b_sym_yjoin,158,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1b_asym_yjoin,162,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1b_both_stable,165,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_gluon_confined,205,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_quark_step1_stable,208,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_quark_confined,211,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_confinement_vs_propagation,216,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1_master,245,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_gluon_step0,300,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_gluon_step1,301,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_gluon_step2,302,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_gluon_step3,303,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_quark_step0,306,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_quark_step1,307,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_quark_step2,308,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_quark_step3,309,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_quark_step4,310,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_gluon_has_filter,313,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1c_quark_has_filter,316,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1d_gluon_convergence,334,default root; zero live sorries/axioms observed
RA_D1_Proofs.lean,default_root,2.0,theorem,D1d_quark_convergence,344,default root; zero live sorries/axioms observed
